44121,2016,Castellon,CS
2985,2016,Castellon,PACMA
711,2016,Castellon,VOX
662,2016,Castellon,UPYD
561,2016,Castellon,VERDES
3006,2016,Castellon,OTROS
400552,2016,CiudadReal,Censo
282634,2016,CiudadReal,Votantes
3238,2016,CiudadReal,Nulos
279396,2016,CiudadReal,Validos
1939,2016,CiudadReal,Blancos
121622,2016,CiudadReal,PP
81728,2016,CiudadReal,PSOE
37510,2016,CiudadReal,PODEMOS
33126,2016,CiudadReal,CS
2334,2016,CiudadReal,PACMA
679,2016,CiudadReal,UPYD
458,2016,CiudadReal,VERDES
651184,2016,Cordoba,Censo
452038,2016,Cordoba,Votantes
5220,2016,Cordoba,Nulos
446818,2016,Cordoba,Validos
4489,2016,Cordoba,Blancos
153750,2016,Cordoba,PP
139281,2016,Cordoba,PSOE
85058,2016,Cordoba,PODEMOS
55248,2016,Cordoba,CS
4234,2016,Cordoba,PACMA
743,2016,Cordoba,UPYD
708,2016,Cordoba,VOX
467,2016,Cordoba,VERDES
2840,2016,Cordoba,OTROS
1087472,2016,ACoruna,Censo
651065,2016,ACoruna,Votantes
7676,2016,ACoruna,Nulos
643389,2016,ACoruna,Validos
6693,2016,ACoruna,Blancos
257855,2016,ACoruna,PP
148566,2016,ACoruna,PODEMOS
139973,2016,ACoruna,PSOE
60347,2016,ACoruna,CS
19343,2016,ACoruna,BNG
6857,2016,ACoruna,PACMA
1583,2016,ACoruna,VERDES
1026,2016,ACoruna,VOX
1146,2016,ACoruna,OTROS
157835,2016,Cuenca,Censo
117118,2016,Cuenca,Votantes
1269,2016,Cuenca,Nulos
115849,2016,Cuenca,Validos
823,2016,Cuenca,Blancos
53004,2016,Cuenca,PP
34426,2016,Cuenca,PSOE
15263,2016,Cuenca,PODEMOS
10868,2016,Cuenca,CS
785,2016,Cuenca,PACMA
274,2016,Cuenca,VOX
195,2016,Cuenca,UPYD
130,2016,Cuenca,VERDES
81,2016,Cuenca,OTROS
512366,2016,Girona,Censo
310377,2016,Girona,Votantes
2524,2016,Girona,Nulos
307853,2016,Girona,Validos
2642,2016,Girona,Blancos
80824,2016,Girona,ERC
71453,2016,Girona,CDC
53277,2016,Girona,PODEMOS
38558,2016,Girona,PSOE
31035,2016,Girona,PP
23748,2016,Girona,CS
4627,2016,Girona,PACMA
583,2016,Girona,VERDES
1106,2016,Girona,OTROS
748579,2016,Granada,Censo
494171,2016,Granada,Votantes
4631,2016,Granada,Nulos
489540,2016,Granada,Validos
3424,2016,Granada,Blancos
172721,2016,Granada,PP
151445,2016,Granada,PSOE
86975,2016,Granada,PODEMOS
66000,2016,Granada,CS
5228,2016,Granada,PACMA
1158,2016,Granada,UPYD
993,2016,Granada,VOX
763,2016,Granada,VERDES
833,2016,Granada,OTROS
182408,2016,Guadalajara,Censo
132903,2016,Guadalajara,Votantes
1365,2016,Guadalajara,Nulos
131538,2016,Guadalajara,Validos
822,2016,Guadalajara,Blancos
52047,2016,Guadalajara,PP
30282,2016,Guadalajara,PSOE
23884,2016,Guadalajara,PODEMOS
21586,2016,Guadalajara,CS
1349,2016,Guadalajara,PACMA
541,2016,Guadalajara,VOX
413,2016,Guadalajara,UPYD
245,2016,Guadalajara,VERDES
369,2016,Guadalajara,OTROS
580706,2016,Guipuzcoa,Censo
367464,2016,Guipuzcoa,Votantes
1971,2016,Guipuzcoa,Nulos
365493,2016,Guipuzcoa,Validos
2711,2016,Guipuzcoa,Blancos
104566,2016,Guipuzcoa,PODEMOS
85015,2016,Guipuzcoa,PNV
69828,2016,Guipuzcoa,BILDU
51449,2016,Guipuzcoa,PSOE
35312,2016,Guipuzcoa,PP
11683,2016,Guipuzcoa,CS
2788,2016,Guipuzcoa,PACMA
1172,2016,Guipuzcoa,VERDES
478,2016,Guipuzcoa,UPYD
491,2016,Guipuzcoa,OTROS
396117,2016,Huelva,Censo
249269,2016,Huelva,Votantes
3450,2016,Huelva,Nulos
245819,2016,Huelva,Validos
2526,2016,Huelva,Blancos
88100,2016,Huelva,PSOE
81959,2016,Huelva,PP
40023,2016,Huelva,PODEMOS
28685,2016,Huelva,CS
2850,2016,Huelva,PACMA
470,2016,Huelva,VERDES
464,2016,Huelva,UPYD
398,2016,Huelva,VOX
344,2016,Huelva,OTROS
173546,2016,Huesca,Censo
118018,2016,Huesca,Votantes
1134,2016,Huesca,Nulos
116884,2016,Huesca,Validos
1204,2016,Huesca,Blancos
42332,2016,Huesca,PP
29915,2016,Huesca,PSOE
22430,2016,Huesca,PODEMOS
17934,2016,Huesca,CS
909,2016,Huesca,PACMA
399,2016,Huesca,VOX
239,2016,Huesca,UPYD
216,2016,Huesca,VERDES
1306,2016,Huesca,OTROS
532211,2016,Jaen,Censo
375082,2016,Jaen,Votantes
4320,2016,Jaen,Nulos
370762,2016,Jaen,Validos
2545,2016,Jaen,Blancos
138612,2016,Jaen,PSOE
131234,2016,Jaen,PP
53239,2016,Jaen,PODEMOS
38884,2016,Jaen,CS
3238,2016,Jaen,PACMA
638,2016,Jaen,VOX
589,2016,Jaen,UPYD
455,2016,Jaen,VERDES
1328,2016,Jaen,OTROS
440263,2016,Leon,Censo
284076,2016,Leon,Votantes
3218,2016,Leon,Nulos
280858,2016,Leon,Validos
2397,2016,Leon,Blancos
112723,2016,Leon,PP
73681,2016,Leon,PSOE
49484,2016,Leon,PODEMOS
35870,2016,Leon,CS
2184,2016,Leon,PACMA
620,2016,Leon,VOX
618,2016,Leon,UPYD
430,2016,Leon,VERDES
2851,2016,Leon,OTROS
313207,2016,Lerida,Censo
182909,2016,Lerida,Votantes
1750,2016,Lerida,Nulos
181159,2016,Lerida,Validos
2156,2016,Lerida,Blancos
45525,2016,Lerida,ERC
40985,2016,Lerida,CDC
30182,2016,Lerida,PODEMOS
24503,2016,Lerida,PP
22533,2016,Lerida,PSOE
12592,2016,Lerida,CS
1930,2016,Lerida,PACMA
288,2016,Lerida,VERDES
198,2016,Lerida,VOX
267,2016,Lerida,OTROS
247670,2016,Logrono,Censo
174913,2016,Logrono,Votantes
1931,2016,Logrono,Nulos
172982,2016,Logrono,Validos
1225,2016,Logrono,Blancos
73708,2016,Logrono,PP
42010,2016,Logrono,PSOE
28772,2016,Logrono,PODEMOS
24180,2016,Logrono,CS
1350,2016,Logrono,PACMA
425,2016,Logrono,UPYD
366,2016,Logrono,VOX
312,2016,Logrono,VERDES
634,2016,Logrono,OTROS
348561,2016,Lugo,Censo
196272,2016,Lugo,Votantes
3315,2016,Lugo,Nulos
192957,2016,Lugo,Validos
2088,2016,Lugo,Blancos
91516,2016,Lugo,PP
45796,2016,Lugo,PSOE
32752,2016,Lugo,PODEMOS
13343,2016,Lugo,CS
5009,2016,Lugo,BNG
1939,2016,Lugo,PACMA
514,2016,Lugo,VERDES
4927932,2016,Madrid,Censo
3489376,2016,Madrid,Votantes
23581,2016,Madrid,Nulos
3465795,2016,Madrid,Validos
18137,2016,Madrid,Blancos
1325665,2016,Madrid,PP
737885,2016,Madrid,PODEMOS
678340,2016,Madrid,PSOE
616503,2016,Madrid,CS
39117,2016,Madrid,PACMA
16803,2016,Madrid,VOX
14659,2016,Madrid,UPYD
7377,2016,Madrid,VERDES
11309,2016,Madrid,OTROS
1163657,2016,Malaga,Censo
752086,2016,Malaga,Votantes
7228,2016,Malaga,Nulos
744858,2016,Malaga,Validos
6178,2016,Malaga,Blancos
256033,2016,Malaga,PP
201444,2016,Malaga,PSOE
140829,2016,Malaga,PODEMOS
121294,2016,Malaga,CS
11523,2016,Malaga,PACMA
1832,2016,Malaga,UPYD
1770,2016,Malaga,VOX
1461,2016,Malaga,VERDES
2494,2016,Malaga,OTROS
1034075,2016,Murcia,Censo
719536,2016,Murcia,Votantes
5944,2016,Murcia,Nulos
713592,2016,Murcia,Validos
3713,2016,Murcia,Blancos
333109,2016,Murcia,PP
144937,2016,Murcia,PSOE
111961,2016,Murcia,CS
103522,2016,Murcia,PODEMOS
8209,2016,Murcia,PACMA
2622,2016,Murcia,VOX
2083,2016,Murcia,UPYD
1305,2016,Murcia,VERDES
2131,2016,Murcia,OTROS
502530,2016,Navarra,Censo
338720,2016,Navarra,Votantes
3385,2016,Navarra,Nulos
335335,2016,Navarra,Validos
3468,2016,Navarra,Blancos
106976,2016,Navarra,PP
94972,2016,Navarra,PODEMOS
58173,2016,Navarra,PSOE
31374,2016,Navarra,BILDU
20505,2016,Navarra,CS
2757,2016,Navarra,PACMA
1089,2016,Navarra,VERDES
591,2016,Navarra,UPYD
15430,2016,Navarra,OTROS
364469,2016,Orense,Censo
188562,2016,Orense,Votantes
2385,2016,Orense,Nulos
186177,2016,Orense,Validos
1527,2016,Orense,Blancos
92539,2016,Orense,PP
43429,2016,Orense,PSOE
29136,2016,Orense,PODEMOS
13133,2016,Orense,CS
4107,2016,Orense,BNG
1671,2016,Orense,PACMA
417,2016,Orense,VERDES
218,2016,Orense,OTROS
982837,2016,Oviedo,Censo
600463,2016,Oviedo,Votantes
5764,2016,Oviedo,Nulos
594699,2016,Oviedo,Validos
5374,2016,Oviedo,Blancos
209632,2016,Oviedo,PP
147920,2016,Oviedo,PSOE
141845,2016,Oviedo,PODEMOS
74961,2016,Oviedo,CS
6398,2016,Oviedo,PACMA
1442,2016,Oviedo,VOX
1391,2016,Oviedo,UPYD
1086,2016,Oviedo,VERDES
4650,2016,Oviedo,OTROS
143769,2016,Palencia,Censo
101838,2016,Palencia,Votantes
1212,2016,Palencia,Nulos
100626,2016,Palencia,Validos
